ID,Category,Subcategory,Requirement,Business Description,Functional Detail,Priority,Status,Dependencies,Related Requirements,Affected Modules,UX Impact,Risk,Source,Notes
DM-007,Domain Model & API Contracts,Version Date Model,Communication date as anchor,The version communication date acts as the anchor for linked task dates.,"Task date model, date helpers, timeline rendering, save",MVP,Confirmed,Task date mode,,src/types/; src/services/api-mappers.ts; src/utils/date.helpers.ts; src/utils/node.helpers.ts; DTO/domain/builder mapping,User can shift the plan easily by changing,Medium,Decision Register,Key decision for future scheduling behavior.
DM-005,Domain Model & API Contracts,View-Derived Model,Day role,Day is not a primary saved entity. It is calculated from task,"Timeline helpers, WeeklyView, MonthlyView, DayGridCard, date helpers.",MVP,Confirmed,Task date model,Builder UI Surfaces,src/types/; src/services/api-mappers.ts; src/utils/date.helpers.ts; src/utils/node.helpers.ts; DTO/domain/builder mapping,Users can view by day without managing days,Low-medium,Decision Register,Day grouping is a view layer only.
BC-027,Files & External References,Active File State,Active file state,"Active/opened files are local user workflow state, not shared backend version state.","Local UI state, File Manager Island, no backend",MVP,Confirmed,UI Preferences,"Preferences, Session & Telemetry",src/pages/builder/islands/metadata/ or file manager; file metadata DTOs; file service; Drive link handling,User can work with files privately without affecting,Low,Decision Register,Approved file list itself is shared; active viewing is local.
FI-005,Files & External References,Active File Viewer State,Active file viewing state,"Opened file, active preview, selected file, tab state, zoom, and similar viewer","File Manager Island, local UI preferences, no backend",MVP,Confirmed,UI Preferences category,"Preferences, Session & Telemetry",src/pages/builder/islands/metadata/ or file manager; file metadata DTOs; file service; Drive link handling,User can browse files privately while building.,Low,Decision Register,This is local workspace behavior.
FI-002,Files & External References,Creation File Attachment,New DCX file attachment,"When a new DCX is created from the homepage, the system automatically","Homepage DCX creation, version creation service, project payload,",MVP,Confirmed,Version lifecycle,Integration Contracts,src/pages/builder/islands/metadata/ or file manager; file metadata DTOs; file service; Drive link handling,PM creates DCX and files are immediately available,Medium,Decision Register,Version 1 is the first real container for files.
FI-003,Files & External References,External Link Storage,File storage type,"MVP stores file links/references, mostly Google Drive links, not uploaded file content.","File metadata schema: name, URL, source, createdBy, versionId.",MVP,Confirmed,Google Drive/link availability,Integration Contracts,src/pages/builder/islands/metadata/ or file manager; file metadata DTOs; file service; Drive link handling,User can open approved docs without the app,Low,Decision Register,Uploads can be future if needed.
FI-006,Files & External References,File Access Rules,File access follows version access,Anyone who can access the version can see the version’s file links.,"Access guard, version file query, file link display.",MVP,Confirmed,Permissions & Roles,Permissions & Access Control,src/pages/builder/islands/metadata/ or file manager; file metadata DTOs; file service; Drive link handling,Shared DCX users can open the same reference,Low-medium,Decision Register,Actual Google Drive permission still depends on Drive sharing.
BC-026,Files & External References,File-Assisted Workflow,Files support creation,Approved files/docs support the ICS while building but do not define the,"File Manager Island, Project Metadata/File Island, local file",MVP,Confirmed,Files & File Manager category,Builder UI Surfaces,src/pages/builder/islands/metadata/ or file manager; file metadata DTOs; file service; Drive link handling,User can use approved docs while building top-down,Medium,Decision Register,File behavior will be detailed in Files category.
FI-007,Files & External References,Future Upload/Storage,Upload support,Supabase/storage file uploads are not MVP unless needed later.,"Future storage service, file upload UI, Supabase Storage.",Future,Deferred,File storage decision,Integration Contracts,src/pages/builder/islands/metadata/ or file manager; file metadata DTOs; file service; Drive link handling,Future users may upload files directly if needed.,Medium,Decision Register,No action now beyond not blocking future upload support.
FI-001,Files & External References,Version File Scope,File ownership level,"Files are attached at the version level, not DCX level.","Version model, file metadata table, version creation payload,",MVP,Confirmed,Version creation flow,Domain Model & API Contracts,src/pages/builder/islands/metadata/ or file manager; file metadata DTOs; file service; Drive link handling,ICS sees the approved files relevant to the,Low,Decision Register,Keep this simple.
FI-004,Files & External References,Version-Only Attachment Scope,Version-only file scope,Files are not attached to phases/actions/tasks in MVP. Version-level only.,"File Manager Island, file schema, no task attachment",MVP,Confirmed,Version-level file ownership,,src/pages/builder/islands/metadata/ or file manager; file metadata DTOs; file service; Drive link handling,User sees one simple file list for the,Low,Decision Register,Not a major feature for MVP.
VR-006,Integration Contracts,Project Payload Contract,Prefilled workspace users from project payload,"The project payload should come with prefilled users. Users can be added,",Project payload contract; user/collaborator model; sharing UI; access,MVP + Seed Now,Confirmed,ACCESS-003,Permissions & Access Control,src/services/clickup.service.ts; src/services/auth.service.ts; Supabase service/API contracts; docs/integrations/,The workspace starts with the expected project users,Medium,Decision Register,Need to define later who can add extra users and whether added users inherit read/edit rights.
PR-005,Integration Contracts,Project Payload Contract,Prefilled workspace users,Project payload should come with prefilled users.,"Project payload, creation form, workspace user initialization, backend",MVP,Confirmed,Project creation payload,Permissions & Access Control,src/services/clickup.service.ts; src/services/auth.service.ts; Supabase service/API contracts; docs/integrations/,PM does not manually rebuild the team each,Medium,Decision Register,"User can add, but not remove prefilled users."
BC-024,Integration Contracts,Template Database Contract,Template DB scope,"Template database for phase/action/task components is not MVP, but should be anticipated.","Future Supabase tables, template service, import engine compatibility.",Future,Confirmed,Import engine,Builder State & Mutation Layer,src/services/clickup.service.ts; src/services/auth.service.ts; Supabase service/API contracts; docs/integrations/,Later users can reuse common DCX structures.,Medium,Decision Register,"Seed now, implement later."
VL-008,Lifecycle & Version Status Rules,Approval Flow,Approval requires communication date,Approved is blocked until the version communication date is set.,"Approval validation, version date field, status transition endpoint.",MVP,Confirmed,Communication date model,Domain Model & API Contracts,src/types/lifecycle.ts; src/rules/lifecycle.rules.ts; src/services/versions.service.ts; status transition handlers,PM cannot approve until the campaign date is,Medium,Decision Register,Ready can be date-TBD; Approved cannot.
VL-009,Lifecycle & Version Status Rules,Approval Flow,Approved meaning,Approved means the PM accepted this version and can start planning/adding related,"Status transition logic, ClickUp/task planning integration, logs.",MVP,Confirmed,"Communication date, readiness validation",Integration Contracts,src/types/lifecycle.ts; src/rules/lifecycle.rules.ts; src/services/versions.service.ts; status transition handlers,PM has a clear “this is the version,Medium,Decision Register,Execution/task planning category may expand this later.
VL-012,Lifecycle & Version Status Rules,Approval Flow,Approval confirmation,Approving a version should show a confirmation warning that other Ready/active versions,"Confirmation modal, status transition action, affected versions preview.",MVP,Confirmed,Approval transition,Builder UI Surfaces,src/types/lifecycle.ts; src/rules/lifecycle.rules.ts; src/services/versions.service.ts; status transition handlers,User understands the consequence before approval.,Low-medium,Decision Register,Exact wording is UI-level.
VL-031,Lifecycle & Version Status Rules,Approval Flow,Approval workflow complexity,"MVP includes approval as a status/action, but does not need a full","Status action, validation, lock behavior.",MVP,Confirmed,"Permissions, communication date",Permissions & Access Control,src/types/lifecycle.ts; src/rules/lifecycle.rules.ts; src/services/versions.service.ts; status transition handlers,PM has a clear approve action without heavy,Low-medium,Decision Register,Future can add approver roles or comments.
VL-019,Lifecycle & Version Status Rules,DCX Status Derivation,DCX status derived from versions,"DCX status is derived from the highest/most meaningful version status, not manually","DCX status resolver, dashboard, project/DCX API response.",MVP,Confirmed,Version statuses,Domain Model & API Contracts,src/types/lifecycle.ts; src/rules/lifecycle.rules.ts; src/services/versions.service.ts; status transition handlers,PM sees one clear status for the whole,Medium,Decision Register,Must define precedence rules.
VL-020,Lifecycle & Version Status Rules,DCX Status Derivation,DCX Draft rule,"If all versions are Draft/Created, DCX status is Draft/Created.",DCX status resolver.,MVP,Confirmed,Version statuses,,src/types/lifecycle.ts; src/rules/lifecycle.rules.ts; src/services/versions.service.ts; status transition handlers,PM knows the DCX exists but has not,Low,Decision Register,Label can be adjusted later.
VL-021,Lifecycle & Version Status Rules,DCX Status Derivation,DCX In Progress rule,"If at least one version is In Progress and none are Ready/Approved,","DCX status resolver, dashboard status.",MVP,Confirmed,In Progress trigger,,src/types/lifecycle.ts; src/rules/lifecycle.rules.ts; src/services/versions.service.ts; status transition handlers,PM sees that the team started.,Low,Decision Register,Applies across versions.
VL-022,Lifecycle & Version Status Rules,DCX Status Derivation,DCX Ready rule,If at least one version is Ready for Approval and none are,"DCX status resolver, dashboard, notification maybe.",MVP,Confirmed,Ready status,,src/types/lifecycle.ts; src/rules/lifecycle.rules.ts; src/services/versions.service.ts; status transition handlers,PM can act on a ready version.,Low-medium,Decision Register,"If multiple ready versions exist, DCX is still Ready."
VL-023,Lifecycle & Version Status Rules,DCX Status Derivation,DCX Approved rule,"If one version is Approved, DCX status is Approved.","DCX status resolver, approved version pointer.",MVP,Confirmed,Approval transition,,src/types/lifecycle.ts; src/rules/lifecycle.rules.ts; src/services/versions.service.ts; status transition handlers,PM knows the DCX direction is finalized.,Low,Decision Register,Approved version should be identifiable.
VL-024,Lifecycle & Version Status Rules,DCX Status Derivation,All versions Superseded rule,"If all versions are Superseded and none are Approved, DCX status returns/remains","DCX status resolver, dashboard guidance.",MVP,Confirmed,Superseded status,,src/types/lifecycle.ts; src/rules/lifecycle.rules.ts; src/services/versions.service.ts; status transition handlers,PM/team sees they still need a new active,Medium,Decision Register,This is slightly unusual but fits the workflow.
VL-025,Lifecycle & Version Status Rules,Editability by Status,Editable statuses,"Draft/Created and In Progress versions are editable. Ready, Approved, and Superseded versions","Permission resolver, Builder route, save guards, UI disabled",MVP,Confirmed,Permissions & Roles,Permissions & Access Control,src/types/lifecycle.ts; src/rules/lifecycle.rules.ts; src/services/versions.service.ts; status transition handlers,User clearly understands what can be changed.,Medium,Decision Register,Ready lock already agreed earlier.
VL-004,Lifecycle & Version Status Rules,Lifecycle Metrics,In Progress to Ready timing,Track time from In Progress to Ready for Approval as an actual,"Status timestamps: inProgressAt, readyAt, activity logs, reporting.",MVP / Seed Now,Confirmed,In Progress trigger,"Audit, Logs & Error Reporting",src/types/lifecycle.ts; src/rules/lifecycle.rules.ts; src/services/versions.service.ts; status transition handlers,PM gets a more accurate indication of team,Low-medium,Decision Register,Avoids misleading duration from creation date.
VL-030,Lifecycle & Version Status Rules,Lifecycle Metrics,Required timestamps,"Version should store timestamps for important lifecycle moments: created, in progress, ready,","Version model, API DTO, status transition service.",MVP + Seed Now,Confirmed,Status model,"Audit, Logs & Error Reporting",src/types/lifecycle.ts; src/rules/lifecycle.rules.ts; src/services/versions.service.ts; status transition handlers,PM can see timing clearly.,Low-medium,Decision Register,Exact field names can be defined later.
VL-028,Lifecycle & Version Status Rules,Post-Lock Change Flow,Ready to In Progress rollback,"Ready versions should not be edited directly. To change, duplicate into a","Status transition rules, duplication flow.",MVP,Confirmed,Ready lock,Builder State & Mutation Layer,src/types/lifecycle.ts; src/rules/lifecycle.rules.ts; src/services/versions.service.ts; status transition handlers,User creates a clean new working copy.,Medium,Decision Register,Same principle for Approved/Superseded.
RV-016,Lifecycle & Version Status Rules,Post-Lock Duplication,Ready version duplication,A Ready version can be duplicated with all details into a new,"Version duplication service, mapper layer, API endpoint, creation",MVP,Confirmed,Ready lock,Builder State & Mutation Layer,src/types/lifecycle.ts; src/rules/lifecycle.rules.ts; src/services/versions.service.ts; status transition handlers,User can build a new version from a,Medium,Decision Register,Logs/history should not be copied as official history.
VL-016,Lifecycle & Version Status Rules,Post-Lock Duplication,Duplicate superseded version,Superseded versions can be duplicated into a new editable version.,"Duplication/import engine, version creation source metadata.",MVP,Confirmed,Duplication & reuse logic,Builder State & Mutation Layer,src/types/lifecycle.ts; src/rules/lifecycle.rules.ts; src/services/versions.service.ts; status transition handlers,User can reuse previous work without reopening the,Medium,Decision Register,Same duplication rules as Ready/Approved versions.
RV-004,Lifecycle & Version Status Rules,Post-Ready Change Flow,Post-ready changes,"If changes are needed after Ready, the user duplicates the Ready version","Version duplication service, create version flow, version status",MVP,Confirmed,Duplication logic,Builder State & Mutation Layer,src/types/lifecycle.ts; src/rules/lifecycle.rules.ts; src/services/versions.service.ts; status transition handlers,User creates a new editable copy instead of,Medium,Decision Register,This also supports comparison between versions later.
VL-005,Lifecycle & Version Status Rules,Ready Transition,Ready for Approval meaning,Ready for Approval means the DCX structure is complete enough for PM,"Status transition, readiness validation, status badge, notification/log.",MVP,Confirmed,Readiness validation,Validation & Readiness Rules,src/types/lifecycle.ts; src/rules/lifecycle.rules.ts; src/services/versions.service.ts; status transition handlers,PM knows the version needs review/approval.,Low-medium,Decision Register,This is the handoff point from ICS/team to PM.
VL-007,Lifecycle & Version Status Rules,Ready Transition,Ready without communication date,A version can become Ready for Approvaleven if the version communication date,"Task date model, version date state, readiness validation.",MVP,Confirmed,Data Model & Builder Structure,Domain Model & API Contracts,src/types/lifecycle.ts; src/rules/lifecycle.rules.ts; src/services/versions.service.ts; status transition handlers,Team can finish the DCX structure without waiting,Medium,Decision Register,Linked task dates remain relative until the date is set.
RV-003,Lifecycle & Version Status Rules,Status Locks,Ready status lock,"Once a version is marked Ready, it becomes locked/read-only and cannot be","Version status logic, route guard, edit permissions, card",MVP,Confirmed,"Permissions & Access, Version Lifecycle",Permissions & Access Control,src/types/lifecycle.ts; src/rules/lifecycle.rules.ts; src/services/versions.service.ts; status transition handlers,User sees Ready version as final/locked.,Medium,Decision Register,Editing requires creating a new version.
VL-010,Lifecycle & Version Status Rules,Status Locks,Approved lock,"Once a version is Approved, it is locked/read-only like Ready.","Status-based edit guard, backend save rejection, disabled builder",MVP,Confirmed,Permissions & Roles,Permissions & Access Control,src/types/lifecycle.ts; src/rules/lifecycle.rules.ts; src/services/versions.service.ts; status transition handlers,User understands Approved is final.,Medium,Decision Register,Changes require duplication into new version.
VL-015,Lifecycle & Version Status Rules,Status Locks,Superseded lock,Superseded versions are locked/read-only and cannot be edited.,"Status-based edit guards, backend save rejection.",MVP,Confirmed,Permissions & Roles,Permissions & Access Control,src/types/lifecycle.ts; src/rules/lifecycle.rules.ts; src/services/versions.service.ts; status transition handlers,User can view but not alter inactive versions.,Low-medium,Decision Register,They can still be duplicated.
VL-001,Lifecycle & Version Status Rules,Status Model,Core version statuses,"Version lifecycle should include Draft / Created, In Progress, Ready for Approval,","Version status enum, version service, status transition logic,",MVP,Confirmed,"Readiness rules, permissions",,src/types/lifecycle.ts; src/rules/lifecycle.rules.ts; src/services/versions.service.ts; status transition handlers,PM and team can understand where each version,Medium,Decision Register,“Superseded” replaces separate rejected/disregarded concepts.
VL-002,Lifecycle & Version Status Rules,Status Model,Draft / Created state,A version can exist before real builder work starts. This is the,"Version creation form, version status default, dashboard/status display.",MVP,Confirmed,Version creation workflow,,src/types/lifecycle.ts; src/rules/lifecycle.rules.ts; src/services/versions.service.ts; status transition handlers,PM can see that the version exists but,Low,Decision Register,Name can be Draft or Created; final label can be decided in UI copy.
RV-005,Lifecycle & Version Status Rules,Status Model Boundary,Ready as final MVP state,"For MVP, Ready is the final locked state unless a later approval/review","Version status enum, status transitions, UI labels.",MVP,Proposed,Version Lifecycle,Validation & Readiness Rules,src/types/lifecycle.ts; src/rules/lifecycle.rules.ts; src/services/versions.service.ts; status transition handlers,User understands Ready as “complete and locked.”,Low,Decision Register,"You did not explicitly answer this, but current direction strongly supports it."
VL-027,Lifecycle & Version Status Rules,Status Transition Automation,Created to In Progress automation,Created becomes In Progress automatically when first phase is added.,"First phase mutation, status update, timestamp.",MVP,Confirmed,Builder creation flow,Builder State & Mutation Layer,src/types/lifecycle.ts; src/rules/lifecycle.rules.ts; src/services/versions.service.ts; status transition handlers,PM can trust the timing metric.,Medium,Decision Register,Should create inProgressAt.
VL-003,Lifecycle & Version Status Rules,Status Transitions,In Progress trigger,Version becomes In Progresswhen the first phase is added in the Builder.,"Builder mutation for adding first phase, version status",MVP,Confirmed,"Builder creation workflow, logs",Builder State & Mutation Layer,src/types/lifecycle.ts; src/rules/lifecycle.rules.ts; src/services/versions.service.ts; status transition handlers,PM can see that the ICS/team started working.,Medium,Decision Register,This is a meaningful operational metric.
VL-026,Lifecycle & Version Status Rules,Status Transitions,Allowed transitions,"Core transitions: Created → In Progress, In Progress → Ready, Ready →","Status transition service, validation guards, logs.",MVP,Confirmed,"Readiness, approval, duplication",Validation & Readiness Rules,src/types/lifecycle.ts; src/rules/lifecycle.rules.ts; src/services/versions.service.ts; status transition handlers,User gets clear workflow without enterprise complexity.,Medium,Decision Register,Created → In Progress may be automatic.
VL-011,Lifecycle & Version Status Rules,Supersede Rules,Approving one version affects others,"When one version is approved, all other versions under the same DCX","Version status batch update, transaction/back-end service, dashboard refresh.",MVP,Confirmed,"Backend status transition, logs","Persistence, Autosave & Recovery",src/types/lifecycle.ts; src/rules/lifecycle.rules.ts; src/services/versions.service.ts; status transition handlers,PM sees one approved version and all alternatives,Medium-high,Decision Register,Needs confirmation modal because it affects multiple versions.
VL-014,Lifecycle & Version Status Rules,Supersede Rules,Manual supersede,A user can manually mark a Ready for Approvalversion as Superseded if,"Status transition action, logs, version list filtering.",MVP,Confirmed,Ready status,,src/types/lifecycle.ts; src/rules/lifecycle.rules.ts; src/services/versions.service.ts; status transition handlers,PM can cleanly say “no” to a ready,Low-medium,Decision Register,Same status used for manual no and auto-supersede.
VL-013,Lifecycle & Version Status Rules,Supersede Status,Superseded meaning,"Supersededmeans the version did not move forward. It is locked, inactive, and","Status enum, status badges, edit guards, duplication logic.",MVP,Confirmed,Version status model,,src/types/lifecycle.ts; src/rules/lifecycle.rules.ts; src/services/versions.service.ts; status transition handlers,User sees that this version is no longer,Low-medium,Decision Register,Better term than “disregarded.”
VL-017,Lifecycle & Version Status Rules,Version Source Metadata,Version creation source,Each version should store its creation source.,"Version metadata: sourceType, sourceVersionId, sourceBackupId, future sourceTemplateId.",MVP + Seed Now,Confirmed,Duplication/import/template logic,"Persistence, Autosave & Recovery",src/types/lifecycle.ts; src/rules/lifecycle.rules.ts; src/services/versions.service.ts; status transition handlers,Users/admins can understand where a version came from.,Low-medium,Decision Register,Important for logs and future templates.
VL-018,Lifecycle & Version Status Rules,Version Source Metadata,Source types,"Source should support at least: created from scratch, duplicated from version, imported","API DTO, version model, mapper layer, activity logs.",Seed Now,Confirmed,Templates & Reuse,Integration Contracts,src/types/lifecycle.ts; src/rules/lifecycle.rules.ts; src/services/versions.service.ts; status transition handlers,"No immediate UX burden, but supports traceability later.",Low-medium,Decision Register,"Template DB is future, but source field should be extensible."
PR-020,Permissions & Access Control,Backend Enforcement,Permission enforcement location,"Frontend should hide/disable invalid actions, but backend must enforce access and Ready","Route guards, API middleware/policies, service error handling.",MVP + Seed Now,Confirmed,API/backend contract,Integration Contracts,src/rules/permissions.rules.ts; src/hooks/usePermissions.ts; route guards; backend policy/service enforcement,"User gets clear UI, while backend protects data.",Medium,Decision Register,Important backend-readiness rule.
PR-013,Permissions & Access Control,Backup/Import Permission,JSON backup actions,Shared DCX users can export/import backups for versions they can access/edit.,"Backup import/export utilities, validation before import, permission guard.",MVP,Confirmed,Save & Continuity,"Persistence, Autosave & Recovery",src/rules/permissions.rules.ts; src/hooks/usePermissions.ts; route guards; backend policy/service enforcement,User can recover work without admin help.,Medium,Decision Register,Import should still respect Ready lock.
PR-012,Permissions & Access Control,Duplication Permission,Duplicate Ready version,Shared DCX users can duplicate Ready versions into new editable versions.,"Version duplication endpoint/service, import engine, logs.",MVP,Confirmed,"Ready lock, selective import",Builder State & Mutation Layer,src/rules/permissions.rules.ts; src/hooks/usePermissions.ts; route guards; backend policy/service enforcement,User can continue work from a locked version,Medium,Decision Register,Duplication may support selective import.
PR-010,Permissions & Access Control,Edit Access,Edit access,Any shared DCX user can edit non-Ready versions.,"Builder edit guards, status checks, autosave permissions.",MVP,Confirmed,"Save & Continuity, Ready lock",Lifecycle & Version Status Rules,src/rules/permissions.rules.ts; src/hooks/usePermissions.ts; route guards; backend policy/service enforcement,Team members can help complete the DCX.,Medium,Decision Register,Future version can introduce editor roles.
PR-017,Permissions & Access Control,Future Role Model,Role granularity,"Detailed roles such as PM, ICS, viewer, approver, admin can be added",Permission schema should not block role expansion.,Future / Seed Now,Confirmed,Workspace access model,,src/rules/permissions.rules.ts; src/hooks/usePermissions.ts; route guards; backend policy/service enforcement,MVP remains simple; future can support stricter governance.,Medium,Decision Register,Do not hardcode assumptions that prevent roles later.
PR-018,Permissions & Access Control,Future Role Model,Assigned editor model,"Future version may restrict editing to assigned/editor users, while shared users retain","Assignment fields, permission checker, task/version ownership.",Future,Deferred,Collaboration/version lifecycle,,src/rules/permissions.rules.ts; src/hooks/usePermissions.ts; route guards; backend policy/service enforcement,Later teams can control who edits.,Medium,Decision Register,Not MVP because current decision is full shared-user access.
PR-011,Permissions & Access Control,Locked Version Edit Guard,Ready version permission,No normal shared user can edit a Ready version.,"Status-based edit guard, disabled controls, backend save rejection.",MVP,Confirmed,Readiness & Validation Rules,Lifecycle & Version Status Rules,src/rules/permissions.rules.ts; src/hooks/usePermissions.ts; route guards; backend policy/service enforcement,User sees Ready version as protected.,Medium,Decision Register,Changes require duplication into new version.
PR-007,Permissions & Access Control,Protected Workspace Users,Remove prefilled users,Prefilled users from project payload cannot be removed by normal users.,"Workspace user editor, protected user flag, backend validation.",MVP,Confirmed,Project payload users,Integration Contracts,src/rules/permissions.rules.ts; src/hooks/usePermissions.ts; route guards; backend policy/service enforcement,Core team remains attached to the DCX.,Low-medium,Decision Register,Added users may be removable later depending on rules.
PR-009,Permissions & Access Control,Read Access,Read access,Any shared DCX user can read all versions under the DCX.,"Version list/query permissions, builder route guard.",MVP,Confirmed,Workspace-level access,,src/rules/permissions.rules.ts; src/hooks/usePermissions.ts; route guards; backend policy/service enforcement,User can see context and previous versions.,Low,Decision Register,Applies to non-ready and Ready versions.
VR-011,Permissions & Access Control,Read/Edit Access Model,Read access vs edit access,"Not decided yet: once a user has DCX access, can they edit",Permission service; Builder read-only mode; version status locks;,Needs Decision,Needs Decision,ACCESS-003; Version Lifecycle decisions,Lifecycle & Version Status Rules,src/rules/permissions.rules.ts; src/hooks/usePermissions.ts; route guards; backend policy/service enforcement,Determines whether shared users are viewers or editors,Medium-high,Decision Register,Recommended direction: all shared users can read; assigned/editor users can edit.
PR-008,Permissions & Access Control,Shared User Capability,Shared user capability,"For MVP, any shared DCX user can do everything inside that DCX","Permission checker, UI action guards, backend policy.",MVP,Confirmed,Ready lock rule,,src/rules/permissions.rules.ts; src/hooks/usePermissions.ts; route guards; backend policy/service enforcement,Shared users can create/edit/duplicate/import/export/mark Ready.,Medium,Decision Register,This replaces earlier read/editor split for MVP.
PR-014,Permissions & Access Control,Status Action Permission,Mark version Ready,Any shared DCX user can mark a non-Ready version as Ready if,"Status transition endpoint, readiness validation, logs.",MVP,Confirmed,Readiness checker,Validation & Readiness Rules,src/rules/permissions.rules.ts; src/hooks/usePermissions.ts; route guards; backend policy/service enforcement,Team can finish the DCX without waiting for,Medium,Decision Register,Future can restrict Ready action by role.
PR-015,Permissions & Access Control,Super User Model,Super user concept,"Super users will exist and can do anything, but exact definition can","User role model, backend policy, future admin UI.",Seed Now / Future,Confirmed,Auth/user model,,src/rules/permissions.rules.ts; src/hooks/usePermissions.ts; route guards; backend policy/service enforcement,Admin/support can later resolve issues or override access.,Low,Decision Register,"Seed as concept, not full feature."
PR-016,Permissions & Access Control,Super User Override,Super user override,Super users can override normal DCX rules when defined later.,"Permission resolver, backend role flag, admin tools.",Future,Deferred,Super user definition,,src/rules/permissions.rules.ts; src/hooks/usePermissions.ts; route guards; backend policy/service enforcement,Admin can resolve blocked cases later.,Medium,Decision Register,Not needed for MVP implementation beyond type/readiness awareness.
PR-019,Permissions & Access Control,UI State Permission Boundary,UI state permission,"Permissions should guard real data actions, not local UI behavior like island","Island hooks, builder store, local UI state.",MVP,Confirmed,Local UI State decision,"Preferences, Session & Telemetry",src/rules/permissions.rules.ts; src/hooks/usePermissions.ts; route guards; backend policy/service enforcement,User can operate the interface freely.,Low,Decision Register,Prevents unnecessary complexity/API calls.
VR-005,Permissions & Access Control,Workspace Access,DCX/workspace-level sharing,A user can open/read a DCX if they are authenticated and shared,Workspace/DCX access table; version route guard; project payload;,MVP + Seed Now,Confirmed,ACCESS-002; ACCESS-004,"Routing, Auth & Load Control",src/rules/permissions.rules.ts; src/hooks/usePermissions.ts; route guards; backend policy/service enforcement,Shared users can access all versions under that,Medium,Decision Register,Edit permissions still need a separate decision; this row confirms read/open access.
PR-003,Permissions & Access Control,Workspace Access,DCX/workspace-level access,"Access is controlled at DCX/workspace level, not per version.","Workspace user table/model, access checker, version route guard.",MVP,Confirmed,Version Access category,"Routing, Auth & Load Control",src/rules/permissions.rules.ts; src/hooks/usePermissions.ts; route guards; backend policy/service enforcement,Shared user can access all versions under the,Low-medium,Decision Register,This avoids complex version-level ACLs.
PR-004,Permissions & Access Control,Workspace Access,Shared on one version = access to all versions,"If a user is shared on one version, they have access to","Access resolver, version query permissions, backend policy.",MVP,Confirmed,DCX/workspace access model,,src/rules/permissions.rules.ts; src/hooks/usePermissions.ts; route guards; backend policy/service enforcement,User can compare/open all versions in same DCX.,Low,Decision Register,Important for version duplication and review.
PR-006,Permissions & Access Control,Workspace User Management,Add users,Any user with access to the DCX can add more users for,"User management UI, workspace user update endpoint, access",MVP,Confirmed,Workspace access model,Builder UI Surfaces,src/rules/permissions.rules.ts; src/hooks/usePermissions.ts; route guards; backend policy/service enforcement,Any team member can share access when needed.,Medium,Decision Register,Future roles can restrict this later.
SC-003,"Persistence, Autosave & Recovery",Autosave Debounce,Autosave debounce,"Use a short debounce before saving after edits. Exact duration is implementation-level,",Affects autosave hook and save status UI.,MVP,Confirmed,Backend save endpoint.,,src/services/builder.service.ts; src/services/versions.service.ts; autosave hooks; src/utils/export.helpers.ts; src/utils/import.helpers.ts; local cache,User sees changes saved soon after editing.,Low-medium,Decision Register,Do not over-discuss exact milliseconds in decision register.
SC-002,"Persistence, Autosave & Recovery",Autosave Strategy,Autosave strategy,MVP uses full-tree debounced save. Code should still seed named mutation commands,"Affects useBuilderNodes.ts, node.helpers.ts, future builderMutations.ts, API save payloads.",MVP + Seed Now,Confirmed,Data model and mapper layer.,,src/services/builder.service.ts; src/services/versions.service.ts; autosave hooks; src/utils/export.helpers.ts; src/utils/import.helpers.ts; local cache,User gets automatic saving without needing to understand,Medium,Decision Register,Post-MVP can move to granular patches when needed.
SC-001,"Persistence, Autosave & Recovery",Backend Source of Truth,Source of truth,Backend/database is the official version truth. Local state/cache is only a temporary,"Affects versions.service.ts, builder queries, useBuilderNodes.ts, version loading, autosave",MVP,Confirmed,Backend version endpoint.,,src/services/builder.service.ts; src/services/versions.service.ts; autosave hooks; src/utils/export.helpers.ts; src/utils/import.helpers.ts; local cache,User can trust that “Synced” means the backend,Medium,Decision Register,This is the core save principle.
SC-013,"Persistence, Autosave & Recovery",Backup vs Version History,Backup vs official version history,"JSON backup is a personal safety backup, not official version history.","Affects backup metadata, activity logs, version history model.",MVP,Confirmed,Version lifecycle/history decisions.,"Audit, Logs & Error Reporting",src/services/builder.service.ts; src/services/versions.service.ts; autosave hooks; src/utils/export.helpers.ts; src/utils/import.helpers.ts; local cache,"User sees it as recovery tool, not a",Low,Decision Register,"You asked for the table before explicitly answering this, but your direction strongly points to personal backup."
SC-009,"Persistence, Autosave & Recovery",Close Protection,Close warning,Warn user before closing/navigating away when unsaved changes exist.,"Affects route guards / beforeunload, dirty state tracking.",MVP,Confirmed,Dirty/unsaved state.,,src/services/builder.service.ts; src/services/versions.service.ts; autosave hooks; src/utils/export.helpers.ts; src/utils/import.helpers.ts; local cache,User gets protection without feeling locked in.,Low,Decision Register,Should only trigger when there are real unsaved changes.
SC-014,"Persistence, Autosave & Recovery",Future Collaboration Seed,Future collaboration seed,"Do not build real-time collaboration in MVP, but seed future readiness through","Affects data fields like updatedBy, updatedAt, logs, future",Seed Now,Confirmed,"Access model, activity logs, mutation commands.","Audit, Logs & Error Reporting",src/services/builder.service.ts; src/services/versions.service.ts; autosave hooks; src/utils/export.helpers.ts; src/utils/import.helpers.ts; local cache,Team can work with one active owner now,Medium,Decision Register,This connects to Change Logs category later.
